structureName,dimension,k,n,time
kdTree,3,2,10000,2080
kdTree,3,4,10000,5586
kdTree,3,8,10000,11575
kdTree,3,10,10000,18667
kdTree,3,16,10000,28282
kdTree,3,2,100000,4855
kdTree,3,4,100000,13089
kdTree,3,8,100000,28472
kdTree,3,10,100000,46948
kdTree,3,16,100000,73186
kdTree,4,2,100,395
kdTree,4,4,100,927
kdTree,4,8,100,1772
kdTree,4,10,100,2692
kdTree,4,16,100,3801
kdTree,4,2,1000,1270
kdTree,4,4,1000,3169
kdTree,4,8,1000,6014
kdTree,4,10,1000,9001
kdTree,4,16,1000,12939
kdTree,4,2,10000,3355
kdTree,4,4,10000,8063
kdTree,4,8,10000,14855
kdTree,4,10,10000,22837
kdTree,4,16,10000,33346
kdTree,4,2,100000,8206
kdTree,4,4,100000,19812
kdTree,4,8,100000,37244
kdTree,4,10,100000,56976
kdTree,4,16,100000,83327
kdTree,5,2,100,522
kdTree,5,4,100,1248
kdTree,5,8,100,2267
kdTree,5,10,100,3414
kdTree,5,16,100,4767
kdTree,5,2,1000,1743
kdTree,5,4,1000,4143
kdTree,5,8,1000,7370
kdTree,5,10,1000,11047
kdTree,5,16,1000,15896
kdTree,5,2,10000,4493
kdTree,5,4,10000,10602
kdTree,5,8,10000,19345
kdTree,5,10,10000,29039
kdTree,5,16,10000,41579
kdTree,5,2,100000,11072
kdTree,5,4,100000,26608
kdTree,5,8,100000,48571
kdTree,5,10,100000,72714
kdTree,5,16,100000,104049
kdTree,6,2,100,614
kdTree,6,4,100,1516
kdTree,6,8,100,2645
kdTree,6,10,100,3813
kdTree,6,16,100,5309
kdTree,6,2,1000,2491
kdTree,6,4,1000,5529
kdTree,6,8,1000,9599
kdTree,6,10,1000,14114
kdTree,6,16,1000,20027
kdTree,6,2,10000,6721
kdTree,6,4,10000,15856
kdTree,6,8,10000,28013
kdTree,6,10,10000,41426
kdTree,6,16,10000,58187
kdTree,6,2,100000,15722
kdTree,6,4,100000,36682
kdTree,6,8,100000,64879
kdTree,6,10,100000,96006
kdTree,6,16,100000,135369
kdTree,7,2,100,719
kdTree,7,4,100,1675
kdTree,7,8,100,3019
kdTree,7,10,100,4302
kdTree,7,16,100,5941
kdTree,7,2,1000,3384
kdTree,7,4,1000,7810
kdTree,7,8,1000,13270
kdTree,7,10,1000,19156
kdTree,7,16,1000,26639
kdTree,7,2,10000,11291
kdTree,7,4,10000,25414
kdTree,7,8,10000,43255
kdTree,7,10,10000,62607
kdTree,7,16,10000,86087
kdTree,7,2,100000,25135
kdTree,7,4,100000,57624
kdTree,7,8,100000,99554
kdTree,7,10,100000,145279
kdTree,7,16,100000,201744
